Service_ID,Service_Date,Location,Branch,Region,Franchise_ID,Product_Category,Service_Type,Technician_ID,Customer_ID,Service_Duration,Part_Name,Parts_Used,Parts_Cost,Parts_Revenue,Service_Cost,Service_Revenue,Total_Revenue,Warranty_Claim,Customer_Satisfaction,Product_Age_Months,First_Call_Resolution,Priority
SVC010000,2024-10-16,Delhi_North,Delhi_North,North,FR002_Delhi_NCR,Washing Machine,Part Replacement,TECH_DEL005,CUST356787,1.4,None,0,0.0,0.0,469.48,233.361,233.361,1,3.8,4,1,1
SVC010001,2024-09-08,Mumbai_Central,Mumbai_Central,West,FR001_Mumbai_West,Air Conditioner,Repair,TECH_MUM009,CUST539898,2.1,Fan Motor,1,2107.58,3094.03,485.3,816.7,3910.7300000000005,0,3.2,13,1,1
SVC010002,2023-09-28,Mumbai_Andheri,Mumbai_Andheri,West,FR001_Mumbai_West,Kitchen Appliances,Annual Maintenance Contract,TECH_MUM009,CUST230889,2.9,Timer,3,973.08,1512.76,1151.43,1890.79,3403.55,0,3.8,59,1,1
SVC010003,2024-01-15,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Refrigerator,Part Replacement,TECH_PUN005,CUST835911,2.9,None,0,0.0,0.0,933.3,1277.18,1277.18,0,3.3,49,1,3
SVC010004,2024-12-05,Lucknow_Gomti_Nagar,Lucknow_Gomti_Nagar,North,FR010_UP,Refrigerator,Part Replacement,TECH_LUC006,CUST983794,2.5,Door Seal,1,460.47,650.75,956.57,1460.56,2111.31,0,3.4,64,1,3
SVC010005,2024-04-14,Bangalore_Koramangala,Bangalore_Koramangala,South,FR003_Bangalore,Microwave Oven,Repair,TECH_BAN004,CUST881177,3.8,Turntable Motor,3,1190.09,1687.76,795.81,1069.46,2757.2200000000003,0,4.6,55,1,1
SVC010006,2024-09-02,Ahmedabad_Satellite,Ahmedabad_Satellite,West,FR008_Gujarat,Air Conditioner,Maintenance,TECH_AHM009,CUST112038,1.5,Thermostat,3,8623.56,13318.38,515.9,871.23,14189.609999999999,0,4.0,14,0,1
SVC010007,2024-10-16,Jaipur_Malviya_Nagar,Jaipur_Malviya_Nagar,North,FR009_Rajasthan,Air Conditioner,Repair,TECH_JAI003,CUST492077,4.8,Compressor,3,9407.89,15025.01,1734.5,2420.98,17445.99,0,4.1,11,1,2
SVC010008,2023-03-12,Lucknow_Gomti_Nagar,Lucknow_Gomti_Nagar,North,FR010_UP,Refrigerator,Repair,TECH_LUC008,CUST676510,1.8,Evaporator Fan,3,2814.2,4150.06,683.86,1012.52,5162.58,0,3.1,3,1,1
SVC010009,2023-08-14,Mumbai_Central,Mumbai_Central,West,FR001_Mumbai_West,Washing Machine,Part Replacement,TECH_MUM001,CUST340062,1.1,Motor,2,2309.8,3332.69,249.11,417.06,3749.75,0,3.9,101,1,2
SVC010010,2023-04-07,Delhi_North,Delhi_North,North,FR002_Delhi_NCR,Kitchen Appliances,Annual Maintenance Contract,TECH_DEL006,CUST544154,1.8,None,0,0.0,0.0,379.5,592.54,592.54,0,3.1,94,1,3
SVC010011,2023-09-12,Chennai_Anna_Nagar,Chennai_Anna_Nagar,South,FR004_Chennai,Refrigerator,Diagnostic,TECH_CHE008,CUST246991,1.8,Compressor,1,8101.92,12738.4,558.12,736.85,13475.25,0,4.7,12,0,3
SVC010012,2023-06-20,Hyderabad_Secunderabad,Hyderabad_Secunderabad,South,FR007_Hyderabad,Dishwasher,Annual Maintenance Contract,TECH_HYD004,CUST520521,2.8,Door Latch,1,329.56,513.06,814.8,1197.11,1710.1699999999998,0,5.0,72,1,2
SVC010013,2023-07-14,Kolkata_Park_Street,Kolkata_Park_Street,East,FR005_Kolkata,Refrigerator,Installation,TECH_KOL010,CUST871476,2.9,None,0,0.0,0.0,613.16,940.39,940.39,0,4.7,21,1,2
SVC010014,2023-07-10,Delhi_South,Delhi_South,North,FR002_Delhi_NCR,Air Conditioner,Installation,TECH_DEL004,CUST523389,1.8,None,0,0.0,0.0,448.64,689.92,689.92,0,3.8,75,1,1
SVC010015,2023-09-25,Chennai_Anna_Nagar,Chennai_Anna_Nagar,South,FR004_Chennai,Kitchen Appliances,Part Replacement,TECH_CHE006,CUST350280,1.5,Timer,3,2677.39,4080.96,468.9,628.32,4709.28,0,4.0,17,0,3
SVC010016,2023-09-08,Pune_Hinjewadi,Pune_Hinjewadi,West,FR006_Pune,Microwave Oven,Repair,TECH_PUN008,CUST974244,3.7,Door Switch,3,3477.53,2208.628,839.38,338.985,2547.6130000000003,1,4.1,35,1,1
